,LifetimeB1,LifetimeB2,ATLASlumi,CMSlumi,IntB1,IntB2,Ene,Betastar_IP1,Betastar_IP5,Xing_IP1,Xing_IP5,BMode
1525598801.785,2.566,6.476,0.000525317,0.0,6510000000.0,8400000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598811.785,2.598,6.549,0.004291346,0.0,6830000000.0,8480000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598821.785,2.661,6.313,0.000230307,0.0,6590000000.0,8530000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598831.785,2.603,6.738,0.0,0.0,6280000000.0,8110000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598841.785,2.573,6.382,0.0,0.0,6930000000.0,8390000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598851.785,2.539,6.527,0.000967978,0.0,7370000000.0,8180000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598861.785,2.696,6.495,0.0,0.0,7490000000.0,8380000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598871.785,2.735,6.361,0.0,0.0,7150000000.0,8510000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598881.785,2.683,6.664,0.003384733,0.0,7700000000.0,8380000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598891.785,2.693,6.452,0.010566801,0.0,8820000000.0,8420000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598901.785,2.659,6.553,0.000959612,0.0,8110000000.0,8460000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598911.785,2.691,6.631,0.005585704,0.0,7970000000.0,8380000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598921.785,2.536,6.13,0.004032786,0.000172885,8640000000.0,8600000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598931.785,2.604,6.158,0.005193625,0.0,7140000000.0,9130000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598941.785,2.652,6.249,0.0,0.0,7830000000.0,8600000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598951.785,2.594,6.494,0.0,0.0,7160000000.0,8870000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598961.785,2.643,6.24,0.0,0.0,6520000000.0,8210000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598971.785,2.516,6.172,0.0,0.0,7760000000.0,8420000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598981.785,2.583,6.309,0.0,0.0,6720000000.0,9200000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598991.785,2.625,6.067,0.001264888,0.0,6880000000.0,8580000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599001.785,2.66,6.057,0.002499505,0.0,7470000000.0,8660000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599011.785,2.759,6.435,0.003900859,0.0,7620000000.0,8110000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599021.785,2.68,6.577,0.001987355,0.0,7620000000.0,8570000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599031.785,2.707,6.802,0.000918163,0.0,8080000000.0,9000000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599041.785,2.584,6.368,0.0,0.0,6250000000.0,8580000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599051.785,2.656,6.492,0.000857938,0.0,7300000000.0,8790000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599061.785,2.738,7.199,0.004335789,0.0,7310000000.0,8620000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599071.785,2.657,6.334,0.002105661,0.000172885,6620000000.0,8670000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599081.785,2.574,6.729,0.003416402,0.0,6260000000.0,8920000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525599091.785,2.559,6.254,0.003341056,0.0,7010000000.0,8700000000.0,494.0,48.0,45.0,170.0,170.0,2.0
